"mech","type","skew","amount","mean","sd","median","iqr"
"MNAR","MID","no",0.0275,-0.0073,0.1698,-0.0154,0.4027
"MNAR","MID","yes",0.1404,0.091,0.7143,-0.0016,0.0082
"MNAR","MID","diff",-0.1129,0.0983,0.5445,0.0138,-0.3945
"MNAR","TAIL","no",0.0329,-0.0102,-0.1915,-0.0085,-0.3009
"MNAR","TAIL","yes",0.11,-0.0332,-0.8408,0.0029,-0.011
"MNAR","TAIL","diff",-0.0772,-0.023,-0.6493,0.0113,0.2899
"MCAR","MCAR","no",-0.0166,0.0053,-0.0023,-0.0038,-0.001
"MCAR","MCAR","yes",0.093,0.0188,0.2157,6e-04,0.0014
"MCAR","MCAR","diff",-0.1095,0.0135,0.218,0.0045,0.0024
"MCAR","MCAR","no",-0.0034,-0.019,8e-04,-0.0217,0.0026
"MCAR","MCAR","yes",0.1195,0.0012,0.0024,0,0.0012
"MCAR","MCAR","diff",-0.1228,0.0202,0.0016,0.0217,-0.0014
"MCAR","MCAR","no",-0.0235,-0.0048,-0.0068,-0.0053,-0.0065
"MCAR","MCAR","yes",0.1128,-0.005,-0.058,-4e-04,3e-04
"MCAR","MCAR","diff",-0.1363,-2e-04,-0.0512,0.0048,0.0067
"MCAR","MCAR","no",0.0239,0.0028,-0.0105,0.0048,-0.015
"MCAR","MCAR","yes",0.1003,0.0059,0.0448,0.0041,-0.0019
"MCAR","MCAR","diff",-0.0764,0.0031,0.0554,-7e-04,0.0131
"MAR","RIGHT","no",-0.0527,-0.1978,-0.0141,-0.2053,-0.0303
"MAR","RIGHT","yes",0.0864,-0.0651,-0.5548,-0.0399,-0.0035
"MAR","RIGHT","diff",-0.1391,0.1327,-0.5407,0.1653,0.0268
"MAR","LEFT","no",0.0125,0.2138,-0.0159,0.222,-0.0362
"MAR","LEFT","yes",0.1253,0.0556,0.2647,0.0317,-0.0054
"MAR","LEFT","diff",-0.1128,-0.1582,0.2805,-0.1903,0.0308
"MAR","MID","no",-0.0155,-0.0139,0.0469,-0.0186,0.0811
"MAR","MID","yes",0.0977,0.0092,0.1615,-0.0027,0.0069
"MAR","MID","diff",-0.1132,0.0232,0.1147,0.0159,-0.0742
"MAR","TAIL","no",-0.0078,-0.0021,-0.0498,0.0038,-0.0816
"MAR","TAIL","yes",0.1075,-0.027,-0.4496,0,-0.006
"MAR","TAIL","diff",-0.1153,-0.0249,-0.3998,-0.0039,0.0756
"MNAR","RIGHT","no",0.0214,-0.4033,-0.0984,-0.3866,-0.1288
"MNAR","RIGHT","yes",0.1364,-0.0532,-0.8723,-0.01,0.0014
"MNAR","RIGHT","diff",-0.115,0.3502,-0.7739,0.3766,0.1302
"MNAR","LEFT","no",-0.0169,0.4036,-0.0974,0.3927,-0.1622
"MNAR","LEFT","yes",0.11,0.0497,0.4067,0.0107,-0.003
"MNAR","LEFT","diff",-0.1269,-0.3539,0.5041,-0.382,0.1592
"MNAR","MID","no",0.0328,0.0013,0.1663,-0.0013,0.3708
"MNAR","MID","yes",0.1139,0.0699,0.6745,0.002,0.0166
"MNAR","MID","diff",-0.0811,0.0686,0.5082,0.0033,-0.3541
"MNAR","TAIL","no",0.0131,-0.0138,-0.2009,-0.0153,-0.3038
"MNAR","TAIL","yes",0.1184,-0.0384,-0.8537,0.0012,-0.0083
"MNAR","TAIL","diff",-0.1053,-0.0245,-0.6528,0.0165,0.2955
"MCAR","MCAR","no",-0.0293,-0.0116,-0.0023,-0.0145,-0.022
"MCAR","MCAR","yes",0.0909,0.0075,0.1233,7e-04,6e-04
"MCAR","MCAR","diff",-0.1202,0.0191,0.1256,0.0152,0.0226
"MCAR","MCAR","no",0.0219,0.0022,0.0025,0.007,0.0116
"MCAR","MCAR","yes",0.1122,-0.0018,-0.0051,-0.0029,0.003
"MCAR","MCAR","diff",-0.0902,-0.004,-0.0076,-0.0099,-0.0086
"MCAR","MCAR","no",0.0015,0.0104,0.0151,-0.0016,0.0078
"MCAR","MCAR","yes",0.1202,-0.0295,-0.4084,-0.003,0.001
"MCAR","MCAR","diff",-0.1188,-0.0399,-0.4235,-0.0015,-0.0068
"MCAR","MCAR","no",-0.0149,-0.0031,0.0075,-0.0209,0.0065
"MCAR","MCAR","yes",0.0784,-0.0061,-0.1502,0.0013,-0.0049
"MCAR","MCAR","diff",-0.0933,-0.0031,-0.1577,0.0222,-0.0114
"MAR","RIGHT","no",-0.0255,-0.2061,-0.0139,-0.2161,-0.0024
"MAR","RIGHT","yes",0.096,-0.0639,-0.5644,-0.0358,-0.0064
"MAR","RIGHT","diff",-0.1215,0.1423,-0.5505,0.1802,-0.0041
"MAR","LEFT","no",-0.0145,0.2016,-0.0174,0.1938,-0.0209
"MAR","LEFT","yes",0.0979,0.0701,0.4047,0.0329,-0.0018
"MAR","LEFT","diff",-0.1124,-0.1315,0.4221,-0.1609,0.019
"MAR","MID","no",-0.0133,-0.0023,0.0485,-0.0046,0.0552
"MAR","MID","yes",0.0785,0.0176,0.316,-0.0027,0.0091
"MAR","MID","diff",-0.0919,0.0199,0.2675,0.0019,-0.0462
"MAR","TAIL","no",0.0095,0.0086,-0.0561,0.0086,-0.0585
"MAR","TAIL","yes",0.1283,-0.0165,-0.2015,-1e-04,-0.0049
"MAR","TAIL","diff",-0.1188,-0.0251,-0.1454,-0.0087,0.0536
"MNAR","RIGHT","no",-0.0017,-0.4285,-0.0939,-0.4349,-0.1183
"MNAR","RIGHT","yes",0.091,-0.0495,-0.8138,-0.0169,-0.0034
"MNAR","RIGHT","diff",-0.0928,0.379,-0.7199,0.418,0.115
"MNAR","LEFT","no",0.0218,0.4169,-0.0778,0.4322,-0.0944
"MNAR","LEFT","yes",0.1266,0.0542,0.4229,0.0109,0
"MNAR","LEFT","diff",-0.1048,-0.3627,0.5007,-0.4213,0.0945
"MNAR","MID","no",-0.0294,0.0014,0.1715,0.008,0.4023
"MNAR","MID","yes",0.0996,0.0601,0.6779,-0.0048,0.0075
"MNAR","MID","diff",-0.129,0.0587,0.5064,-0.0128,-0.3948
"MNAR","TAIL","no",-0.0013,-0.0058,-0.189,-0.0058,-0.3039
"MNAR","TAIL","yes",0.1268,-0.0407,-0.8683,0.0033,-0.0051
"MNAR","TAIL","diff",-0.1281,-0.0348,-0.6793,0.0091,0.2988
"MCAR","MCAR","no",0.0034,0.0024,0.0067,0.0056,0.0063
"MCAR","MCAR","yes",0.0644,0.0087,0.2568,-0.0035,0.0032
"MCAR","MCAR","diff",-0.0609,0.0063,0.2501,-0.0091,-0.0031
"MCAR","MCAR","no",0.031,0.0179,0.0016,0.032,0.0021
"MCAR","MCAR","yes",0.1314,-0.0023,-0.0274,0,-0.0016
"MCAR","MCAR","diff",-0.1004,-0.0202,-0.029,-0.032,-0.0037
"MCAR","MCAR","no",0.0491,-3e-04,0.0175,-0.0053,0.0504
"MCAR","MCAR","yes",0.1161,-0.0052,-0.0544,0,-0.003
"MCAR","MCAR","diff",-0.0671,-0.0048,-0.0719,0.0053,-0.0534
"MCAR","MCAR","no",0.0049,-0.0011,0.0066,-0.0027,0.0186
"MCAR","MCAR","yes",0.1095,0.0116,0.136,1e-04,-0.0023
"MCAR","MCAR","diff",-0.1046,0.0127,0.1293,0.0028,-0.0209
"MAR","RIGHT","no",0.0257,-0.1892,-0.0282,-0.1762,-0.0292
"MAR","RIGHT","yes",0.1088,-0.0582,-0.4294,-0.0328,-0.0089
"MAR","RIGHT","diff",-0.0832,0.1309,-0.4012,0.1434,0.0202
"MAR","LEFT","no",-0.0099,0.2004,-0.021,0.2058,-0.0132
"MAR","LEFT","yes",0.1111,0.0649,0.3582,0.0343,-0.0035
"MAR","LEFT","diff",-0.121,-0.1355,0.3792,-0.1715,0.0097
"MAR","MID","no",0.0087,-0.0241,0.0433,-0.0353,0.0675
"MAR","MID","yes",0.0831,0.0163,0.2416,-1e-04,0.0189
"MAR","MID","diff",-0.0744,0.0404,0.1982,0.0352,-0.0486
"MAR","TAIL","no",0.0364,0.0019,-0.0385,0.0032,-0.0574
"MAR","TAIL","yes",0.1107,-0.0026,-0.0545,8e-04,-0.0114
"MAR","TAIL","diff",-0.0743,-0.0045,-0.0161,-0.0024,0.046
"MNAR","RIGHT","no",0.0317,-0.4284,-0.096,-0.4258,-0.1637
"MNAR","RIGHT","yes",0.1016,-0.0481,-0.8259,-0.0145,-0.0089
"MNAR","RIGHT","diff",-0.07,0.3803,-0.7299,0.4113,0.1547
"MNAR","LEFT","no",0.0258,0.4304,-0.0811,0.4392,-0.1047
"MNAR","LEFT","yes",0.0962,0.0474,0.3993,0.0187,0.0021
"MNAR","LEFT","diff",-0.0704,-0.383,0.4803,-0.4204,0.1068
"MNAR","MID","no",-0.018,-0.0078,0.1625,-0.0255,0.3645
"MNAR","MID","yes",0.088,0.0477,0.6688,-0.0121,0.0208
"MNAR","MID","diff",-0.106,0.0555,0.5063,0.0134,-0.3437
"MNAR","TAIL","no",-0.0188,7e-04,-0.198,0,-0.3265
"MNAR","TAIL","yes",0.1173,-0.0391,-0.8574,0.0023,-0.0062
"MNAR","TAIL","diff",-0.1361,-0.0399,-0.6594,0.0023,0.3203
"MCAR","MCAR","no",0.0112,-0.0114,-0.008,-0.0031,-0.0085
"MCAR","MCAR","yes",0.1065,0.0039,0.0279,0.0015,-0.0012
"MCAR","MCAR","diff",-0.0953,0.0153,0.0359,0.0046,0.0074
"MCAR","MCAR","no",0.0189,0.0018,-0.0029,0.0014,-0.0049
"MCAR","MCAR","yes",0.0993,0.0152,0.184,0.0029,-1e-04
"MCAR","MCAR","diff",-0.0804,0.0134,0.1869,0.0016,0.0048
"MCAR","MCAR","no",0.0014,0.0028,0.0117,-0.001,0.0172
"MCAR","MCAR","yes",0.1089,0.0102,0.1421,-6e-04,-0.002
"MCAR","MCAR","diff",-0.1075,0.0075,0.1305,4e-04,-0.0192
"MCAR","MCAR","no",-0.0053,-0.0142,-0.0055,-0.0024,-0.0145
"MCAR","MCAR","yes",0.0855,-0.0191,-0.3385,-7e-04,0.0011
"MCAR","MCAR","diff",-0.0908,-0.005,-0.333,0.0017,0.0156
"MAR","RIGHT","no",0.0128,-0.203,-0.0188,-0.2059,-0.0223
"MAR","RIGHT","yes",0.1107,-0.0653,-0.5798,-0.0338,-0.0061
"MAR","RIGHT","diff",-0.0979,0.1377,-0.561,0.172,0.0162
"MAR","LEFT","no",0.0162,0.2121,-0.0296,0.2259,-0.0243
"MAR","LEFT","yes",0.1113,0.0392,0.08,0.0338,-9e-04
"MAR","LEFT","diff",-0.0951,-0.1729,0.1096,-0.1921,0.0234
"MAR","MID","no",-0.0351,0.0145,0.0443,-0.0068,0.0492
"MAR","MID","yes",0.0988,0.0263,0.3036,0.0023,0.0158
"MAR","MID","diff",-0.1339,0.0118,0.2592,0.0092,-0.0334
"MAR","TAIL","no",0.0048,-0.0055,-0.0525,8e-04,-0.0613
"MAR","TAIL","yes",0.0646,0.0139,0.253,0.004,-0.0037
"MAR","TAIL","diff",-0.0599,0.0195,0.3056,0.0032,0.0576
"MNAR","RIGHT","no",-4e-04,-0.4107,-0.0864,-0.4101,-0.1515
"MNAR","RIGHT","yes",0.1045,-0.0498,-0.8326,-0.0142,-0.0014
"MNAR","RIGHT","diff",-0.1049,0.3609,-0.7461,0.3959,0.1501
"MNAR","LEFT","no",-0.0343,0.4133,-0.0958,0.4137,-0.1348
"MNAR","LEFT","yes",0.0546,0.0515,0.3931,0.0295,0.0014
"MNAR","LEFT","diff",-0.0889,-0.3618,0.4889,-0.3842,0.1362
"MNAR","MID","no",0.0142,0.0057,0.1621,0.0184,0.3641
"MNAR","MID","yes",0.1288,0.0824,0.7139,-0.001,0.0081
"MNAR","MID","diff",-0.1146,0.0766,0.5518,-0.0195,-0.356
"MNAR","TAIL","no",-0.0183,-0.0051,-0.1927,-0.0064,-0.2966
"MNAR","TAIL","yes",0.1058,-0.0364,-0.844,-0.001,-0.0036
"MNAR","TAIL","diff",-0.124,-0.0313,-0.6513,0.0054,0.293
"MCAR","MCAR","no",0.0466,0.003,8e-04,-0.005,-0.0027
"MCAR","MCAR","yes",0.1335,0.0107,0.1199,-0.0012,0.002
"MCAR","MCAR","diff",-0.0869,0.0076,0.1192,0.0038,0.0047
"MCAR","MCAR","no",0.0049,-0.0047,-0.0059,7e-04,-0.0039
"MCAR","MCAR","yes",0.1054,-0.0047,-0.0357,-0.0027,0.0036
"MCAR","MCAR","diff",-0.1005,0,-0.0298,-0.0035,0.0075
"MCAR","MCAR","no",-0.0138,0.0079,0.0041,0.0082,0
"MCAR","MCAR","yes",0.0837,-0.0011,-0.0483,0.0032,-0.0011
"MCAR","MCAR","diff",-0.0976,-0.009,-0.0524,-0.005,-0.001
"MCAR","MCAR","no",-0.0562,-0.009,-0.0085,-0.0174,-0.0467
"MCAR","MCAR","yes",0.1037,-0.0049,-0.0793,0.0019,-0.003
"MCAR","MCAR","diff",-0.1599,0.0041,-0.0707,0.0193,0.0437
"MAR","RIGHT","no",0.0216,-0.2142,-0.0191,-0.216,-0.04
"MAR","RIGHT","yes",0.1158,-0.0533,-0.3641,-0.0313,-0.0101
"MAR","RIGHT","diff",-0.0942,0.1609,-0.345,0.1847,0.03
"MAR","LEFT","no",-0.0344,0.2065,-0.0149,0.2142,-0.0465
"MAR","LEFT","yes",0.1223,0.0492,0.2027,0.0288,-0.0056
"MAR","LEFT","diff",-0.1567,-0.1573,0.2177,-0.1854,0.0409
"MAR","MID","no",0.0262,0.0023,0.0354,0.0011,0.0612
"MAR","MID","yes",0.1049,0.0102,0.1439,6e-04,0.0128
"MAR","MID","diff",-0.0787,0.0078,0.1085,-5e-04,-0.0484
"MAR","TAIL","no",-0.0257,0.0015,-0.0468,0.0031,-0.0569
"MAR","TAIL","yes",0.0913,-0.0163,-0.2532,-0.0025,-0.0065
"MAR","TAIL","diff",-0.117,-0.0178,-0.2064,-0.0056,0.0505
"MNAR","RIGHT","no",-5e-04,-0.4019,-0.0827,-0.4131,-0.1318
"MNAR","RIGHT","yes",0.1234,-0.0537,-0.8657,-0.0108,-0.0037
"MNAR","RIGHT","diff",-0.1239,0.3483,-0.783,0.4022,0.1281
"MNAR","LEFT","no",0.0043,0.3921,-0.0894,0.4048,-0.129
"MNAR","LEFT","yes",0.0873,0.05,0.4217,0.0201,0.002
"MNAR","LEFT","diff",-0.083,-0.3421,0.511,-0.3848,0.1311
"MNAR","MID","no",-0.0174,-0.0098,0.1646,0.0096,0.3992
"MNAR","MID","yes",0.0589,0.0334,0.6165,-0.0075,0.0313
"MNAR","MID","diff",-0.0763,0.0433,0.4519,-0.0171,-0.3678
"MNAR","TAIL","no",-0.0127,-0.0117,-0.2055,-0.0046,-0.3127
"MNAR","TAIL","yes",0.089,-0.0287,-0.8188,0.003,-0.0081
"MNAR","TAIL","diff",-0.1017,-0.017,-0.6133,0.0076,0.3046
"MCAR","MCAR","no",0.0108,-0.007,0.0033,-0.0137,0.01
"MCAR","MCAR","yes",0.1099,0.0035,0.0378,0.0012,-0.0032
"MCAR","MCAR","diff",-0.0991,0.0105,0.0345,0.0149,-0.0133
"MCAR","MCAR","no",-0.0031,0.0044,0.0039,0.0087,-0.0043
"MCAR","MCAR","yes",0.1396,0.001,-0.0043,0.001,0.0015
"MCAR","MCAR","diff",-0.1427,-0.0034,-0.0082,-0.0077,0.0058
"MCAR","MCAR","no",0.0024,0.0112,0.007,0.0185,0.0046
"MCAR","MCAR","yes",0.1167,0.0043,0.0468,-0.0029,-0.0022
"MCAR","MCAR","diff",-0.1143,-0.0069,0.0398,-0.0214,-0.0068
"MCAR","MCAR","no",8e-04,-0.002,-0.0089,-0.0143,-0.0325
"MCAR","MCAR","yes",0.0915,-0.0087,-0.1075,-0.0017,0.002
"MCAR","MCAR","diff",-0.0907,-0.0067,-0.0986,0.0126,0.0345
"MAR","RIGHT","no",0.02,-0.1912,-0.0128,-0.1914,-0.0269
"MAR","RIGHT","yes",0.1037,-0.0584,-0.4166,-0.0358,-0.0069
"MAR","RIGHT","diff",-0.0837,0.1328,-0.4038,0.1556,0.02
"MAR","LEFT","no",-0.0274,0.1958,-0.0209,0.1979,-0.0427
"MAR","LEFT","yes",0.1002,0.0516,0.2336,0.0331,-0.0049
"MAR","LEFT","diff",-0.1276,-0.1442,0.2545,-0.1648,0.0378
"MAR","MID","no",0.0394,0.0035,0.0499,0.0035,0.0554
"MAR","MID","yes",0.111,0.0018,0.0322,-0.0012,0.0129
"MAR","MID","diff",-0.0716,-0.0017,-0.0177,-0.0047,-0.0425
"MAR","TAIL","no",0.0277,-0.0146,-0.0389,-0.0061,-0.0471
"MAR","TAIL","yes",0.1091,-0.0199,-0.3178,-0.0013,-0.0062
"MAR","TAIL","diff",-0.0814,-0.0054,-0.279,0.0048,0.0409
"MNAR","RIGHT","no",-0.0095,-0.4021,-0.0741,-0.4095,-0.0983
"MNAR","RIGHT","yes",0.0846,-0.0501,-0.8007,-0.0225,-0.0065
"MNAR","RIGHT","diff",-0.094,0.352,-0.7266,0.387,0.0918
"MNAR","LEFT","no",-0.0196,0.4079,-0.0847,0.3949,-0.1034
"MNAR","LEFT","yes",0.1055,0.0555,0.4291,0.0152,8e-04
"MNAR","LEFT","diff",-0.1251,-0.3523,0.5138,-0.3797,0.1042
"MNAR","MID","no",0.006,0.001,0.1679,-0.0036,0.3687
"MNAR","MID","yes",0.1135,0.0677,0.6958,-0.0089,0.015
"MNAR","MID","diff",-0.1075,0.0667,0.528,-0.0053,-0.3537
"MNAR","TAIL","no",0.015,0.0064,-0.1878,0.0055,-0.3088
"MNAR","TAIL","yes",0.1149,-0.0359,-0.8503,0.0015,-0.0058
"MNAR","TAIL","diff",-0.0999,-0.0423,-0.6625,-0.004,0.303
"MCAR","MCAR","no",-0.0066,-0.0056,0.0021,-0.0168,0.0098
"MCAR","MCAR","yes",0.0901,-0.0083,-0.1203,-8e-04,-0.0056
"MCAR","MCAR","diff",-0.0967,-0.0027,-0.1223,0.0161,-0.0154
"MCAR","MCAR","no",0.0186,-0.0046,0.0096,0.0066,0.0059
"MCAR","MCAR","yes",0.126,0.0019,0.0046,8e-04,-0.0026
"MCAR","MCAR","diff",-0.1074,0.0066,-0.005,-0.0057,-0.0085
"MCAR","MCAR","no",0.0172,0.016,0.0046,0.0133,0.0122
"MCAR","MCAR","yes",0.085,0.0091,0.1128,0.0026,0.0038
"MCAR","MCAR","diff",-0.0678,-0.0069,0.1082,-0.0106,-0.0084
"MCAR","MCAR","no",-0.0071,-0.0119,0.005,-0.0111,0.0151
"MCAR","MCAR","yes",0.1261,-0.0017,-0.0222,0.001,-0.0022
"MCAR","MCAR","diff",-0.1332,0.0102,-0.0272,0.012,-0.0173
"MAR","RIGHT","no",-0.0197,-0.2022,-0.0183,-0.2051,-0.033
"MAR","RIGHT","yes",0.097,-0.0574,-0.4029,-0.0338,-0.0059
"MAR","RIGHT","diff",-0.1167,0.1448,-0.3846,0.1712,0.0272
"MAR","LEFT","no",-0.0255,0.219,-0.0247,0.1999,-0.0289
"MAR","LEFT","yes",0.1046,0.0333,-0.0055,0.0301,-0.0032
"MAR","LEFT","diff",-0.1301,-0.1857,0.0192,-0.1698,0.0257
"MAR","MID","no",-0.0049,0.0116,0.0391,0.0017,0.0348
"MAR","MID","yes",0.0995,0.0045,0.0712,0,0.0132
"MAR","MID","diff",-0.1045,-0.0071,0.0321,-0.0017,-0.0216
"MAR","TAIL","no",-0.0261,2e-04,-0.0556,-0.0053,-0.0823
"MAR","TAIL","yes",0.0913,-0.0143,-0.2604,0.0025,-0.0099
"MAR","TAIL","diff",-0.1174,-0.0145,-0.2048,0.0078,0.0724
"MNAR","RIGHT","no",-0.0109,-0.422,-0.0876,-0.4158,-0.1199
"MNAR","RIGHT","yes",0.1029,-0.0486,-0.8364,-0.0117,-2e-04
"MNAR","RIGHT","diff",-0.1138,0.3734,-0.7488,0.404,0.1197
"MNAR","LEFT","no",0.0194,0.4029,-0.0892,0.3907,-0.1115
"MNAR","LEFT","yes",0.1296,0.053,0.4199,0.0084,0.0018
"MNAR","LEFT","diff",-0.1103,-0.3499,0.5091,-0.3823,0.1133
"MNAR","MID","no",0.0484,0.0091,0.1528,0.0096,0.3799
"MNAR","MID","yes",0.1272,0.0768,0.6999,-0.0012,0.01
"MNAR","MID","diff",-0.0788,0.0677,0.5471,-0.0108,-0.3699
"MNAR","TAIL","no",0.001,0,-0.2026,-0.0025,-0.2888
"MNAR","TAIL","yes",0.1047,-0.0329,-0.8423,0.0035,-0.0072
"MNAR","TAIL","diff",-0.1036,-0.0329,-0.6397,0.0059,0.2816
"MCAR","MCAR","no",-0.0053,0.0098,-0.0043,-0.0068,-0.0072
"MCAR","MCAR","yes",0.1298,0.0047,0.0427,0.0023,-0.0037
"MCAR","MCAR","diff",-0.1351,-0.0052,0.047,0.0091,0.0036
"MCAR","MCAR","no",-0.0393,-0.0055,-0.0103,0.0012,-0.0218
"MCAR","MCAR","yes",0.1105,0.006,0.0606,3e-04,-0.0029
"MCAR","MCAR","diff",-0.1498,0.0115,0.0709,-9e-04,0.0189
"MCAR","MCAR","no",-0.0053,-0.009,0.0068,-0.0037,-0.0088
"MCAR","MCAR","yes",0.1156,0.0076,0.1028,2e-04,-0.0015
"MCAR","MCAR","diff",-0.1209,0.0166,0.096,0.0039,0.0073
"MCAR","MCAR","no",0.0438,0.0071,-0.0024,0.0042,0.003
"MCAR","MCAR","yes",0.1264,0.0081,0.0897,1e-04,-0.0017
"MCAR","MCAR","diff",-0.0826,9e-04,0.0921,-0.0041,-0.0046
"MAR","RIGHT","no",0.0074,-0.2138,-0.0193,-0.2149,-0.0133
"MAR","RIGHT","yes",0.1174,-0.0583,-0.4739,-0.0273,-0.0037
"MAR","RIGHT","diff",-0.11,0.1555,-0.4545,0.1876,0.0096
"MAR","LEFT","no",-0.0229,0.209,-0.0322,0.2073,-0.0606
"MAR","LEFT","yes",0.1051,0.0577,0.3022,0.0312,-0.0073
"MAR","LEFT","diff",-0.128,-0.1513,0.3344,-0.1762,0.0533
"MAR","MID","no",-0.0321,-0.0217,0.0464,-0.0292,0.0735
"MAR","MID","yes",0.1036,-4e-04,-0.0121,0.0011,0.0087
"MAR","MID","diff",-0.1356,0.0213,-0.0585,0.0303,-0.0648
"MAR","TAIL","no",-0.0103,0.009,-0.0443,0.0181,-0.0667
"MAR","TAIL","yes",0.0844,-0.0151,-0.3165,-8e-04,-0.0149
"MAR","TAIL","diff",-0.0947,-0.0241,-0.2722,-0.0189,0.0518
"MNAR","RIGHT","no",-0.018,-0.4102,-0.0911,-0.4102,-0.1108
"MNAR","RIGHT","yes",0.0829,-0.0486,-0.8042,-0.0199,0.0024
"MNAR","RIGHT","diff",-0.1009,0.3616,-0.7131,0.3903,0.1132
"MNAR","LEFT","no",0.0211,0.404,-0.0824,0.3987,-0.157
"MNAR","LEFT","yes",0.1079,0.0488,0.4033,0.0165,-0.001
"MNAR","LEFT","diff",-0.0868,-0.3552,0.4857,-0.3822,0.1561
"MNAR","MID","no",0.0283,-0.013,0.1556,-0.0174,0.3344
"MNAR","MID","yes",0.1275,0.0767,0.6917,-0.0062,0.0122
"MNAR","MID","diff",-0.0992,0.0897,0.5361,0.0111,-0.3222
"MNAR","TAIL","no",0.0204,-0.0071,-0.1874,0.0033,-0.2994
"MNAR","TAIL","yes",0.0997,-0.0302,-0.8255,0.0024,-0.0095
"MNAR","TAIL","diff",-0.0793,-0.023,-0.6381,-9e-04,0.2899
"MCAR","MCAR","no",0.0257,0.0093,0.0049,0.0075,0.0236
"MCAR","MCAR","yes",0.0962,-0.0131,-0.2213,-0.0027,-0.0044
"MCAR","MCAR","diff",-0.0705,-0.0223,-0.2262,-0.0102,-0.028
"MCAR","MCAR","no",0.0146,-0.0154,-0.0053,-0.0152,-0.004
"MCAR","MCAR","yes",0.1419,-0.0089,-0.0756,-0.0011,-0.0013
"MCAR","MCAR","diff",-0.1273,0.0065,-0.0703,0.0141,0.0027
"MCAR","MCAR","no",0.0157,-0.019,0.013,-0.0162,0.036
"MCAR","MCAR","yes",0.111,0.0071,0.0978,0.0019,-4e-04
"MCAR","MCAR","diff",-0.0953,0.0261,0.0848,0.0181,-0.0364
"MCAR","MCAR","no",-0.0382,0.0119,-0.0079,0.0153,-0.0177
"MCAR","MCAR","yes",0.0673,-0.0041,-0.0867,0.0012,-3e-04
"MCAR","MCAR","diff",-0.1055,-0.016,-0.0788,-0.0141,0.0174
"MAR","RIGHT","no",-0.0152,-0.2229,-0.0353,-0.2229,-0.0331
"MAR","RIGHT","yes",0.0977,-0.0591,-0.4225,-0.0348,-8e-04
"MAR","RIGHT","diff",-0.1129,0.1639,-0.3872,0.188,0.0323
"MAR","LEFT","no",4e-04,0.2307,-0.0321,0.2268,-0.0429
"MAR","LEFT","yes",0.1047,0.0612,0.2941,0.0386,-0.0063
"MAR","LEFT","diff",-0.1043,-0.1696,0.3263,-0.1882,0.0366
"MAR","MID","no",-0.023,0.0051,0.0388,-4e-04,0.0561
"MAR","MID","yes",0.087,0.0188,0.2301,0.0017,0.01
"MAR","MID","diff",-0.11,0.0136,0.1913,0.0021,-0.0461
"MAR","TAIL","no",0.0253,-0.0076,-0.0407,0.0049,-0.0597
"MAR","TAIL","yes",0.1046,-0.0063,-0.1087,-8e-04,-0.0086
"MAR","TAIL","diff",-0.0793,0.0013,-0.0679,-0.0057,0.0511
"MNAR","RIGHT","no",0.0551,-0.4211,-0.0996,-0.3994,-0.1754
"MNAR","RIGHT","yes",0.1246,-0.0506,-0.8516,-0.0104,1e-04
"MNAR","RIGHT","diff",-0.0695,0.3704,-0.752,0.389,0.1755
"MNAR","LEFT","no",-0.0151,0.4108,-0.0854,0.398,-0.1196
"MNAR","LEFT","yes",0.1179,0.0542,0.4256,0.0106,-0.0038
"MNAR","LEFT","diff",-0.133,-0.3566,0.511,-0.3874,0.1157
"MNAR","MID","no",0.0026,0.0061,0.1674,0.0066,0.3836
"MNAR","MID","yes",0.1204,0.0754,0.7039,-0.0029,0.0105
"MNAR","MID","diff",-0.1178,0.0692,0.5364,-0.0095,-0.3732
"MNAR","TAIL","no",0.0014,0.0029,-0.1932,-0.0027,-0.3023
"MNAR","TAIL","yes",0.1089,-0.0352,-0.8476,0.0024,-0.0072
"MNAR","TAIL","diff",-0.1075,-0.0381,-0.6544,0.0051,0.295
"MCAR","MCAR","no",0.013,2e-04,0.0011,-0.0022,0.0038
"MCAR","MCAR","yes",0.1142,0.0071,0.1103,-0.0016,0.002
"MCAR","MCAR","diff",-0.1013,0.0069,0.1092,6e-04,-0.0019
"MCAR","MCAR","no",0.0025,0.0147,-0.008,0.013,-0.0056
"MCAR","MCAR","yes",0.1008,-0.0064,-0.0691,-7e-04,0.0012
"MCAR","MCAR","diff",-0.0983,-0.0211,-0.0611,-0.0138,0.0068
"MCAR","MCAR","no",-0.0112,0.0165,0.006,0.0219,0.0079
"MCAR","MCAR","yes",0.079,-0.0014,-0.0439,0.0021,0.0011
"MCAR","MCAR","diff",-0.0902,-0.0179,-0.0499,-0.0198,-0.0068
"MCAR","MCAR","no",0.0134,-0.0039,0.0132,-0.0119,0.007
"MCAR","MCAR","yes",0.1027,-0.0058,-0.0758,-0.0024,-0.0082
"MCAR","MCAR","diff",-0.0893,-0.0019,-0.0889,0.0095,-0.0153
"MAR","RIGHT","no",0.0148,-0.2116,-0.0194,-0.2068,-0.0408
"MAR","RIGHT","yes",0.1185,-0.0499,-0.299,-0.029,-0.004
"MAR","RIGHT","diff",-0.1037,0.1617,-0.2796,0.1778,0.0368
"MAR","LEFT","no",-0.0035,0.2176,-0.0202,0.2173,-0.0704
"MAR","LEFT","yes",0.0953,0.0519,0.2027,0.0353,-0.0095
"MAR","LEFT","diff",-0.0989,-0.1657,0.2229,-0.182,0.0609
